tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_magn_volume	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	sequence	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
None	This study	unknown	16tr001c	16tr001	16tr001c	16tr001c:LP-DIR-T	2G	LT-NO:LP-DIR-T	pmagpy-3.18.0	16tr001c:LP-DIR-T1	None	207.5	None	g	-26.5	4.894e-08	0.004894	1	4.0	5.156000000000001e-10	7.229e-10	1.038e-09	u	273.0	0	0	0	0	0	273.0
None	This study	unknown	16tr001c	16tr001	16tr001c	16tr001c:LP-DIR-T	2G	LT-T-Z:LP-DIR-T	pmagpy-3.18.0	16tr001c:LP-DIR-T2	None	200.2	None	g	-27.8	4.769e-08	0.004769	2	4.0	6.863999999999999e-10	8.788999999999998e-10	1.308e-09	u	273.0	1	0	0	0	0	353.0
None	This study	unknown	16tr001c	16tr001	16tr001c	16tr001c:LP-DIR-T	2G	LT-T-Z:LP-DIR-T	pmagpy-3.18.0	16tr001c:LP-DIR-T3	None	202.2	None	g	-29.0	4.8039999999999985e-08	0.004804	3	4.0	5.951e-10	7.989e-10	1.091e-09	u	273.0	2	0	0	0	0	473.0
None	This study	unknown	16tr001c	16tr001	16tr001c	16tr001c:LP-DIR-T	2G	LT-T-Z:LP-DIR-T	pmagpy-3.18.0	16tr001c:LP-DIR-T4	None	201.7	None	g	-31.7	4.7830000000000005e-08	0.004783	4	4.0	5.795e-10	8.312999999999999e-10	1.006e-09	u	273.0	3	0	0	0	0	573.0
None	This study	unknown	16tr001c	16tr001	16tr001c	16tr001c:LP-DIR-T	2G	LT-T-Z:LP-DIR-T	pmagpy-3.18.0	16tr001c:LP-DIR-T5	None	202.5	None	g	-31.0	4.62e-08	0.00462	5	4.0	5.844e-10	7.722000000000001e-10	1.014e-09	u	273.0	4	0	0	0	0	673.0
None	This study	unknown	16tr001c	16tr001	16tr001c	16tr001c:LP-DIR-T	2G	LT-T-Z:LP-DIR-T	pmagpy-3.18.0	16tr001c:LP-DIR-T6	None	202.7	None	g	-29.2	4.378e-08	0.004378	6	4.0	5.57e-10	7.352e-10	1.113e-09	u	273.0	5	0	0	0	0	773.0
None	This study	unknown	16tr001c	16tr001	16tr001c	16tr001c:LP-DIR-T	2G	LT-T-Z:LP-DIR-T	pmagpy-3.18.0	16tr001c:LP-DIR-T7	None	204.1	None	g	-30.5	4.222e-08	0.004222	7	4.0	5.362000000000001e-10	7.017000000000001e-10	1.029e-09	u	273.0	6	0	0	0	0	823.0
None	This study	unknown	16tr001c	16tr001	16tr001c	16tr001c:LP-DIR-T	2G	LT-T-Z:LP-DIR-T	pmagpy-3.18.0	16tr001c:LP-DIR-T8	None	200.4	None	g	-31.1	4.097e-08	0.004097	8	4.0	5.488999999999999e-10	6.72e-10	1.019e-09	u	273.0	7	0	0	0	0	848.0
None	This study	unknown	16tr001c	16tr001	16tr001c	16tr001c:LP-DIR-T	2G	LT-T-Z:LP-DIR-T	pmagpy-3.18.0	16tr001c:LP-DIR-T9	None	198.5	None	g	-32.0	3.828e-08	0.003828	9	4.0	4.983e-10	6.877999999999999e-10	8.845e-10	u	273.0	8	0	0	0	0	873.0
None	This study	unknown	16tr001c	16tr001	16tr001c	16tr001c:LP-DIR-T	2G	LT-T-Z:LP-DIR-T	pmagpy-3.18.0	16tr001c:LP-DIR-T10	None	198.9	None	g	-31.7	3.492e-08	0.0034920000000000003	10	4.0	4.918999999999999e-10	6.129e-10	9.231e-10	u	273.0	9	0	0	0	0	888.0
