tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	magn_volume	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
16tr001c:LP-DIR-T1	16tr001c:LP-DIR-T	16tr001c		207.5	-26.5	0	0	0	0	1	273.0	0.004894	This study	2G	LT-NO:LP-DIR-T	g	0	u	4.0	273.0			pmagpy-3.18.0	4.894e-08	5.156000000000001e-10	7.229e-10	1.038e-09	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T2	16tr001c:LP-DIR-T	16tr001c		200.2	-27.8	0	0	0	0	2	353.0	0.004769	This study	2G	LT-T-Z:LP-DIR-T	g	1	u	4.0	273.0			pmagpy-3.18.0	4.769e-08	6.863999999999999e-10	8.788999999999998e-10	1.308e-09	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T3	16tr001c:LP-DIR-T	16tr001c		202.2	-29.0	0	0	0	0	3	473.0	0.004804	This study	2G	LT-T-Z:LP-DIR-T	g	2	u	4.0	273.0			pmagpy-3.18.0	4.8039999999999985e-08	5.951e-10	7.989e-10	1.091e-09	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T4	16tr001c:LP-DIR-T	16tr001c		201.7	-31.7	0	0	0	0	4	573.0	0.004783	This study	2G	LT-T-Z:LP-DIR-T	g	3	u	4.0	273.0			pmagpy-3.18.0	4.7830000000000005e-08	5.795e-10	8.312999999999999e-10	1.006e-09	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T5	16tr001c:LP-DIR-T	16tr001c		202.5	-31.0	0	0	0	0	5	673.0	0.00462	This study	2G	LT-T-Z:LP-DIR-T	g	4	u	4.0	273.0			pmagpy-3.18.0	4.62e-08	5.844e-10	7.722000000000001e-10	1.014e-09	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T6	16tr001c:LP-DIR-T	16tr001c		202.7	-29.2	0	0	0	0	6	773.0	0.004378	This study	2G	LT-T-Z:LP-DIR-T	g	5	u	4.0	273.0			pmagpy-3.18.0	4.378e-08	5.57e-10	7.352e-10	1.113e-09	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T7	16tr001c:LP-DIR-T	16tr001c		204.1	-30.5	0	0	0	0	7	823.0	0.004222	This study	2G	LT-T-Z:LP-DIR-T	g	6	u	4.0	273.0			pmagpy-3.18.0	4.222e-08	5.362000000000001e-10	7.017000000000001e-10	1.029e-09	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T8	16tr001c:LP-DIR-T	16tr001c		200.4	-31.1	0	0	0	0	8	848.0	0.004097	This study	2G	LT-T-Z:LP-DIR-T	g	7	u	4.0	273.0			pmagpy-3.18.0	4.097e-08	5.488999999999999e-10	6.72e-10	1.019e-09	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T9	16tr001c:LP-DIR-T	16tr001c		198.5	-32.0	0	0	0	0	9	873.0	0.003828	This study	2G	LT-T-Z:LP-DIR-T	g	8	u	4.0	273.0			pmagpy-3.18.0	3.828e-08	4.983e-10	6.877999999999999e-10	8.845e-10	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T10	16tr001c:LP-DIR-T	16tr001c		198.9	-31.7	0	0	0	0	10	888.0	0.0034920000000000003	This study	2G	LT-T-Z:LP-DIR-T	g	9	u	4.0	273.0			pmagpy-3.18.0	3.492e-08	4.918999999999999e-10	6.129e-10	9.231e-10	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T11	16tr001c:LP-DIR-T	16tr001c		198.7	-32.5	0	0	0	0	11	903.0	0.003397	This study	2G	LT-T-Z:LP-DIR-T	g	10	u	4.0	273.0			pmagpy-3.18.0	3.397e-08	4.239e-10	5.613999999999999e-10	8.322e-10	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T12	16tr001c:LP-DIR-T	16tr001c		196.0	-29.7	0	0	0	0	12	913.0	0.003291	This study	2G	LT-T-Z:LP-DIR-T	g	11	u	4.0	273.0			pmagpy-3.18.0	3.291e-08	3.6989999999999993e-10	4.883e-10	8.075000000000001e-10	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T13	16tr001c:LP-DIR-T	16tr001c		197.6	-32.1	0	0	0	0	13	923.0	0.003297	This study	2G	LT-T-Z:LP-DIR-T	g	12	u	4.0	273.0			pmagpy-3.18.0	3.297e-08	3.564e-10	4.48e-10	7.17e-10	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T14	16tr001c:LP-DIR-T	16tr001c	1.7	226.6	-23.2	0	0	0	0	14	930.0	0.001451	This study	2G	LT-T-Z:DE-VM:LP-DIR-T	g	13	u	2.0	273.0		average of multiple measurements	pmagpy-3.18.0	1.449e-08	3.589e-10	3.005e-10	3.369e-10	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T15	16tr001c:LP-DIR-T	16tr001c		201.6	-67.8	0	0	0	0	15	933.0	0.0004862	This study	2G	LT-T-Z:LP-DIR-T	g	14	u	4.0	273.0			pmagpy-3.18.0	4.862e-09	3.55e-10	3.406e-10	3.562e-11	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T16	16tr001c:LP-DIR-T	16tr001c		230.1	-17.2	0	0	0	0	16	936.0	0.00157	This study	2G	LT-T-Z:LP-DIR-T	b	15	u	4.0	273.0			pmagpy-3.18.0	1.57e-08	5.794e-10	4.202e-10	3.508e-10	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T17	16tr001c:LP-DIR-T	16tr001c		207.2	-17.3	0	0	0	0	17	939.0	0.001749	This study	2G	LT-T-Z:LP-DIR-T	b	16	u	4.0	273.0			pmagpy-3.18.0	1.749e-08	5.993e-10	5.127e-10	2.78e-10	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T18	16tr001c:LP-DIR-T	16tr001c		27.8	2.1	0	0	0	0	18	942.0	0.001156	This study	2G	LT-T-Z:LP-DIR-T	b	17	u	4.0	273.0			pmagpy-3.18.0	1.156e-08	5.222e-10	5.962000000000001e-10	2.238e-10	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T19	16tr001c:LP-DIR-T	16tr001c		200.1	-8.6	0	0	0	0	19	945.0	0.001049	This study	2G	LT-T-Z:LP-DIR-T	b	18	u	4.0	273.0			pmagpy-3.18.0	1.0490000000000002e-08	6.272e-10	6.076000000000001e-10	2.427e-10	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T20	16tr001c:LP-DIR-T	16tr001c		161.3	-12.9	0	0	0	0	20	948.0	0.0009332	This study	2G	LT-T-Z:LP-DIR-T	b	19	u	4.0	273.0			pmagpy-3.18.0	9.332e-09	5.939e-10	6.337000000000001e-10	2.194e-10	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T21	16tr001c:LP-DIR-T	16tr001c		232.5	-9.6	0	0	0	0	21	951.0	0.001585	This study	2G	LT-T-Z:LP-DIR-T	b	20	u	4.0	273.0			pmagpy-3.18.0	1.585e-08	7.409e-10	6.663e-10	3.129e-10	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T22	16tr001c:LP-DIR-T	16tr001c		88.5	-10.0	0	0	0	0	22	954.0	0.0009079	This study	2G	LT-T-Z:LP-DIR-T	b	21	u	4.0	273.0			pmagpy-3.18.0	9.079e-09	7.017000000000001e-10	6.454e-10	2.234e-10	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T23	16tr001c:LP-DIR-T	16tr001c		250.2	-11.1	0	0	0	0	23	957.0	0.001044	This study	2G	LT-T-Z:LP-DIR-T	b	22	u	4.0	273.0			pmagpy-3.18.0	1.044e-08	7.477e-10	6.625e-10	2.655e-10	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T24	16tr001c:LP-DIR-T	16tr001c		29.4	-9.3	0	0	0	0	24	960.0	0.001691	This study	2G	LT-T-Z:LP-DIR-T	b	23	u	4.0	273.0			pmagpy-3.18.0	1.6909999999999997e-08	5.938e-10	6.637999999999999e-10	3.078e-10	16tr001c	16tr001	unknown
16tr001c:LP-DIR-T25	16tr001c:LP-DIR-T	16tr001c		251.1	-8.2	0	0	0	0	25	963.0	0.001184	This study	2G	LT-T-Z:LP-DIR-T	b	24	u	4.0	273.0			pmagpy-3.18.0	1.1840000000000002e-08	7.800999999999999e-10	6.779e-10	2.2080000000000005e-10	16tr001c	16tr001	unknown
16tr001e:LP-DIR-T1	16tr001e:LP-DIR-T	16tr001e		203.7	-17.7	0	0	0	0	1	273.0	0.003999	This study	2G	LT-NO:LP-DIR-T	g	0	u	4.0	273.0			pmagpy-3.18.0	3.999e-08	4.534e-10	6.703e-10	1.178e-09	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T2	16tr001e:LP-DIR-T	16tr001e		199.5	-19.9	0	0	0	0	2	353.0	0.004013	This study	2G	LT-T-Z:LP-DIR-T	g	1	u	4.0	273.0			pmagpy-3.18.0	4.013e-08	5.889e-10	7.416e-10	1.293e-09	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T3	16tr001e:LP-DIR-T	16tr001e		199.2	-19.2	0	0	0	0	3	473.0	0.004132	This study	2G	LT-T-Z:LP-DIR-T	g	2	u	4.0	273.0			pmagpy-3.18.0	4.132e-08	5.657e-10	7.107999999999999e-10	1.419e-09	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T4	16tr001e:LP-DIR-T	16tr001e		196.3	-19.8	0	0	0	0	4	573.0	0.004202	This study	2G	LT-T-Z:LP-DIR-T	g	3	u	4.0	273.0			pmagpy-3.18.0	4.202e-08	4.323000000000001e-10	7.117000000000001e-10	1.134e-09	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T5	16tr001e:LP-DIR-T	16tr001e		197.2	-18.7	0	0	0	0	5	673.0	0.004046	This study	2G	LT-T-Z:LP-DIR-T	g	4	u	4.0	273.0			pmagpy-3.18.0	4.046e-08	4.17e-10	6.543999999999999e-10	1.054e-09	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T6	16tr001e:LP-DIR-T	16tr001e	75.1	207.3	-42.7	0	0	0	0	6	773.0	0.003735	This study	2G	LT-T-Z:DE-VM:LP-DIR-T	g	5	u	3.0	273.0		average of multiple measurements	pmagpy-3.18.0	1.46e-08	3.6010000000000003e-10	5.932999999999999e-10	1.142e-09	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T7	16tr001e:LP-DIR-T	16tr001e		200.7	-19.3	0	0	0	0	7	823.0	0.003545000000000001	This study	2G	LT-T-Z:LP-DIR-T	g	6	u	4.0	273.0			pmagpy-3.18.0	3.545e-08	3.86e-10	5.538e-10	1.154e-09	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T8	16tr001e:LP-DIR-T	16tr001e		196.2	-19.8	0	0	0	0	8	848.0	0.003453	This study	2G	LT-T-Z:LP-DIR-T	g	7	u	4.0	273.0			pmagpy-3.18.0	3.4530000000000005e-08	3.72e-10	5.194e-10	1.152e-09	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T9	16tr001e:LP-DIR-T	16tr001e		195.9	-17.3	0	0	0	0	9	873.0	0.003607	This study	2G	LT-T-Z:LP-DIR-T	g	8	u	4.0	273.0			pmagpy-3.18.0	3.607e-08	8.383e-09	1.213e-08	9.75e-10	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T10	16tr001e:LP-DIR-T	16tr001e		193.8	-21.2	0	0	0	0	10	888.0	0.003098	This study	2G	LT-T-Z:LP-DIR-T	g	9	u	4.0	273.0			pmagpy-3.18.0	3.0980000000000003e-08	3.1110000000000004e-10	4.958e-10	1.0340000000000002e-09	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T11	16tr001e:LP-DIR-T	16tr001e		192.0	-18.8	0	0	0	0	11	903.0	0.002962	This study	2G	LT-T-Z:LP-DIR-T	g	10	u	4.0	273.0			pmagpy-3.18.0	2.962e-08	2.639e-10	4.908e-10	7.743999999999999e-10	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T12	16tr001e:LP-DIR-T	16tr001e		192.4	-18.6	0	0	0	0	12	913.0	0.002943	This study	2G	LT-T-Z:LP-DIR-T	g	11	u	4.0	273.0			pmagpy-3.18.0	2.943e-08	2.8939999999999995e-10	4.272e-10	9.502e-10	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T13	16tr001e:LP-DIR-T	16tr001e		189.4	-18.9	0	0	0	0	13	923.0	0.002941	This study	2G	LT-T-Z:LP-DIR-T	g	12	u	4.0	273.0			pmagpy-3.18.0	2.9410000000000007e-08	2.885e-10	4.508e-10	1.026e-09	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T14	16tr001e:LP-DIR-T	16tr001e		195.0	-17.0	0	0	0	0	14	930.0	0.002764	This study	2G	LT-T-Z:LP-DIR-T	g	13	u	4.0	273.0			pmagpy-3.18.0	2.764e-08	3.134e-10	4.366e-10	8.173999999999999e-10	16tr001e	16tr001	unknown
16tr001e:LP-DIR-T15	16tr001e:LP-DIR-T	16tr001e		177.2	-21.1	0	0	0	0	15	933.0	0.002318	This study	2G	LT-T-Z:LP-DIR-T	g	14	u	4.0	273.0			pmagpy-3.18.0	2.318e-08	2.37e-10	4.372e-10	6.057000000000001e-10	16tr001e	16tr001	unknown
