tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-07-20 10:43:24	LT-NO:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T1	1.9	178.1	None	g	-0.7	5.17e-08	1	8	6.18e-10	1.3300000000000002e-09	1.15e-09	u	273	0	0	0.0	0.0	273.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-07-21 12:30:06	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T2	1.6	175.9	None	g	-2.2	5.0700000000000004e-08	2	8	1.27e-09	8.06e-10	1.1699999999999999e-09	u	273	0	0	0.0	0.0	373.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-07-24 07:58:30	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T3	2.2	176.9	None	g	-2.6	4.92e-08	3	8	3.15e-10	1.56e-09	1.07e-09	u	273	0	0	0.0	0.0	473.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-07-24 15:51:57	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T4	1.4	177.0	None	g	-2.8	4.88e-08	4	8	4.19e-10	6.759999999999999e-10	9.97e-10	u	273	0	0	0.0	0.0	573.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-07-31 11:21:49	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T5	1.5	176.3	None	g	-3.0	4.8399999999999997e-08	5	8	5.530000000000001e-10	8.89e-10	9.35e-10	u	273	0	0	0.0	0.0	623.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-01 09:46:36	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T6	1.7	174.4	None	g	-2.9	4.79e-08	6	8	6.89e-10	7.54e-10	1.18e-09	u	273	0	0	0.0	0.0	673.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-02 09:16:03	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T7	2.6	177.3	None	g	-2.8	4.71e-08	7	8	7.51e-10	1.6899999999999995e-09	1.3900000000000002e-09	u	273	0	0	0.0	0.0	723.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-03 16:19:48	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T8	2.1	176.0	None	g	-3.0	4.6500000000000006e-08	8	8	4.12e-10	1.4800000000000005e-09	8.97e-10	u	273	0	0	0.0	0.0	748.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-04 12:56:17	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T9	3.3	173.9	None	g	-2.8	4.61e-08	9	8	4.46e-10	2.58e-09	8.63e-10	u	273	0	0	0.0	0.0	773.0
None	This study	Hongzixi	TR002-B	TR002	TR002-Ba	TR002-Ba:LP-DIR-T	hargrave 2017-08-07 09:40:01	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR002-Ba:LP-DIR-T10	2.3	173.7	None	g	-2.8	4.51e-08	10	8	4.71e-10	1.6699999999999998e-09	7.610000000000001e-10	u	273	0	0	0.0	0.0	798.0
