tab	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	method_codes	quality	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	measurement	sample	site	location
	This study		1.9	178.1	-0.7	TR002-Ba:LP-DIR-T	hargrave 2017-07-20 10:43:24	5.17e-08	6.18e-10	1.3300000000000002e-09	1.15e-09	8	273	LT-NO:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	1	273.0	TR002-Ba:LP-DIR-T1	TR002-B	TR002	Hongzixi
	This study		1.6	175.9	-2.2	TR002-Ba:LP-DIR-T	hargrave 2017-07-21 12:30:06	5.0700000000000004e-08	1.27e-09	8.06e-10	1.1699999999999999e-09	8	273	LT-T-Z:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	2	373.0	TR002-Ba:LP-DIR-T2	TR002-B	TR002	Hongzixi
	This study		2.2	176.9	-2.6	TR002-Ba:LP-DIR-T	hargrave 2017-07-24 07:58:30	4.92e-08	3.15e-10	1.56e-09	1.07e-09	8	273	LT-T-Z:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	3	473.0	TR002-Ba:LP-DIR-T3	TR002-B	TR002	Hongzixi
	This study		1.4	177.0	-2.8	TR002-Ba:LP-DIR-T	hargrave 2017-07-24 15:51:57	4.88e-08	4.19e-10	6.759999999999999e-10	9.97e-10	8	273	LT-T-Z:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	4	573.0	TR002-Ba:LP-DIR-T4	TR002-B	TR002	Hongzixi
	This study		1.5	176.3	-3.0	TR002-Ba:LP-DIR-T	hargrave 2017-07-31 11:21:49	4.8399999999999997e-08	5.530000000000001e-10	8.89e-10	9.35e-10	8	273	LT-T-Z:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	5	623.0	TR002-Ba:LP-DIR-T5	TR002-B	TR002	Hongzixi
	This study		1.7	174.4	-2.9	TR002-Ba:LP-DIR-T	hargrave 2017-08-01 09:46:36	4.79e-08	6.89e-10	7.54e-10	1.18e-09	8	273	LT-T-Z:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	6	673.0	TR002-Ba:LP-DIR-T6	TR002-B	TR002	Hongzixi
	This study		2.6	177.3	-2.8	TR002-Ba:LP-DIR-T	hargrave 2017-08-02 09:16:03	4.71e-08	7.51e-10	1.6899999999999995e-09	1.3900000000000002e-09	8	273	LT-T-Z:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	7	723.0	TR002-Ba:LP-DIR-T7	TR002-B	TR002	Hongzixi
	This study		2.1	176.0	-3.0	TR002-Ba:LP-DIR-T	hargrave 2017-08-03 16:19:48	4.6500000000000006e-08	4.12e-10	1.4800000000000005e-09	8.97e-10	8	273	LT-T-Z:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	8	748.0	TR002-Ba:LP-DIR-T8	TR002-B	TR002	Hongzixi
	This study		3.3	173.9	-2.8	TR002-Ba:LP-DIR-T	hargrave 2017-08-04 12:56:17	4.61e-08	4.46e-10	2.58e-09	8.63e-10	8	273	LT-T-Z:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	9	773.0	TR002-Ba:LP-DIR-T9	TR002-B	TR002	Hongzixi
	This study		2.3	173.7	-2.8	TR002-Ba:LP-DIR-T	hargrave 2017-08-07 09:40:01	4.51e-08	4.71e-10	1.6699999999999998e-09	7.610000000000001e-10	8	273	LT-T-Z:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	10	798.0	TR002-Ba:LP-DIR-T10	TR002-B	TR002	Hongzixi
	This study		2.0	174.4	-2.5	TR002-Ba:LP-DIR-T	hargrave 2017-08-08 08:52:25	4.4100000000000004e-08	5.84e-10	1.2800000000000001e-09	8.92e-10	8	273	LT-T-Z:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	11	823.0	TR002-Ba:LP-DIR-T11	TR002-B	TR002	Hongzixi
	This study		1.9	174.4	-2.3	TR002-Ba:LP-DIR-T	hargrave 2017-08-09 08:52:16	4.4000000000000004e-08	7.25e-10	1.2800000000000001e-09	6.769999999999999e-10	8	273	LT-T-Z:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	12	828.0	TR002-Ba:LP-DIR-T12	TR002-B	TR002	Hongzixi
	This study		1.5	176.8	-2.0	TR002-Ba:LP-DIR-T	hargrave 2017-08-16 10:10:58	4.32e-08	7.190000000000001e-10	5.06e-10	9.98e-10	8	273	LT-T-Z:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	13	833.0	TR002-Ba:LP-DIR-T13	TR002-B	TR002	Hongzixi
	This study		2.2	175.3	-2.1	TR002-Ba:LP-DIR-T	hargrave 2017-08-16 18:30:21	4.27e-08	7.049999999999999e-10	1.3e-09	9.84e-10	8	273	LT-T-Z:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	14	838.0	TR002-Ba:LP-DIR-T14	TR002-B	TR002	Hongzixi
	This study		2.4	175.3	-2.0	TR002-Ba:LP-DIR-T	hargrave 2017-08-17 15:13:45	4.23e-08	6e-10	1.49e-09	9.5e-10	8	273	LT-T-Z:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	15	843.0	TR002-Ba:LP-DIR-T15	TR002-B	TR002	Hongzixi
	This study		1.9	175.4	-2.2	TR002-Ba:LP-DIR-T	hargrave 2017-08-18 10:54:50	4.2e-08	4.95e-10	1.1e-09	9.149999999999999e-10	8	273	LT-T-Z:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	16	848.0	TR002-Ba:LP-DIR-T16	TR002-B	TR002	Hongzixi
	This study		1.7	177.3	-1.9	TR002-Ba:LP-DIR-T	hargrave 2017-08-21 08:11:37	4.1699999999999996e-08	4.6e-10	7.580000000000001e-10	9.81e-10	8	273	LT-T-Z:LP-DIR-T	g	pmagpy-3.11.1	TR002-Ba	u	0	0	0.0	0.0	17	853.0	TR002-Ba:LP-DIR-T17	TR002-B	TR002	Hongzixi
