X,Y,n27_e108_1,n28_e108_1,time,latitude,longitude,localityNa,notes,image name,heading,planeType,dipAzimuth,dip,lineationT,plungeAzim,plunge,unitId
109.18949889,27.73335742,,,2016-05-20 16:30:32,27.733357420000001,109.189498889999996,Locality 1,Grand Metro Park Hotel in Tongren,,,,,,,,,
108.86824868,27.98576858,1337.00000,,2016-05-21 11:52:53,27.985768579999998,108.868248679999994,Locality 1,Medium sandstone. Bedding quite clear  but outcrop is quite weathered. Unclear whether this sandstone is the Datangpo or a sandstone at the top of the Chang'an glacial (Fulu formation),,,,,,,,,
108.86823879,27.9857356,1337.00000,,2016-05-21 11:56:45,27.985735600000002,108.868238790000007,Locality 1,,,,Bedding,277.414276120000011,24.888378140000000,,,,Fulu Formation
108.86391012,27.98326164,1338.00000,,2016-05-21 12:14:00,27.983261639999998,108.863910120000000,Locality 1,,,,Bedding,202.384826659999987,8.110507970000000,,,,Datangpo Formation
108.86185563,27.97968642,1328.00000,,2016-05-21 12:23:40,27.979686420000000,108.861855629999994,Locality 1,,,,Bedding,247.545639039999998,15.221912379999999,,,,Datangpo Formation
108.86191179,27.97976526,1328.00000,,2016-05-21 12:27:40,27.979765260000001,108.861911789999994,Locality 1,Datangpo is heavily folded and foliated in this area,6_1463804860.jpg,359.913299559999984,,,,,,,
108.86186653,27.97950567,1333.00000,,2016-05-21 12:34:14,27.979505670000002,108.861866530000000,Locality 1,Chang'an diamictite at a stratigraphically equivalent position to the Fulu  right below the Datangpo,6_1463805254.jpg,192.830490110000000,,,,,,,
108.85215492,27.96777976,991.00000,,2016-05-21 13:04:09,27.967779759999999,108.852154920000004,Locality 1,Nice red silt stones of the Banxi on the roadcuts of the switchbacks,7_1463807049.jpg,236.891647339999992,,,,,,,
108.8529533,27.96755048,1024.00000,,2016-05-21 13:05:31,27.967550480000000,108.852953299999996,Locality 1,Massive sandstone of Liangjiehe Formation. Horizons of diamictite and laminated sand,,,,,,,,,
108.85324138,27.96714969,1015.00000,,2016-05-21 13:07:41,27.967149689999999,108.853241380000000,Locality 1,Dolomite cemented sandstone within the massive sandstone,9_1463807261.jpg,40.460109709999998,,,,,,,
108.85375016,27.96686618,1020.00000,,2016-05-21 13:12:57,27.966866180000000,108.853750160000004,Locality 1,Diamictite clast 'vugs' within the sandstone,10_1463807577.jpg,25.965787890000001,,,,,,,
108.85465792,27.96437155,978.00000,,2016-05-21 13:33:28,27.964371549999999,108.854657919999994,Locality 1,Subcrop of Banxi red silt stones.,,,,,,,,,
108.85854855,27.96150763,816.00000,,2016-05-21 14:16:49,27.961507630000000,108.858548549999995,Locality 1,Banxi red siltstone,,,,,,,,,
108.86172529,27.96122767,790.00000,,2016-05-21 14:32:12,27.961227670000000,108.861725289999995,Locality 1,Banxi red siltstone,,,,,,,,,
108.86075417,27.95920017,748.00000,,2016-05-21 14:50:16,27.959200169999999,108.860754170000007,Locality 1,Banxi red siltstone,,,,,,,,,
108.8631156,27.95274368,656.00000,,2016-05-21 15:18:37,27.952743680000001,108.863115600000000,Locality 1,Banxi red siltstone with sub-cm ash bed,15_1463815117.jpg,247.137023929999998,,,,,,,
108.86420516,27.95040194,628.00000,,2016-05-21 15:35:05,27.950401939999999,108.864205159999997,Locality 1,Wuqiangxi Formation - green siltstone typical of this formation,,,,,,,,,
108.86416971,27.95036824,628.00000,,2016-05-21 15:35:31,27.950368240000000,108.864169709999999,Locality 1,,,,Bedding,100.950271610000001,73.023590089999999,,,,Wuqiangxi Formation
108.8604142,27.94456545,494.00000,,2016-05-21 15:50:57,27.944565449999999,108.860414199999994,Locality 1,,,,Bedding,214.330062870000006,20.047948840000000,,,,Banxi Group (undifferentiated)
108.8609063,27.94491054,512.00000,,2016-05-21 15:56:29,27.944910539999999,108.860906299999996,Locality 1,Madiyi is typically massive red silt stones.,,,,,,,,,
109.01801175,27.83382563,,,2016-05-21 17:06:26,27.833825630000000,109.018011749999999,Locality 1,Marinoan cap carbonate. Dolostone sitting atop diamictite  with ~1m siltstone horizon in between,,,,,,,,,
