tab	measurements
experiment	specimen	measurement	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T0	    1.6	158.1	 32.8 	0	0	0.00	0.00	0	273	This study	hargrave 2018-05-11 17:36:59	LT-NO:LP-DIR-T	g	0	u	8	273			pmagpy-4.2.4	1.21e-08	2.03e-10	2.79e-10	1.65e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T1	    1.6	162.1	 32.0 	0	0	0.00	0.00	1	  373.0	This study	hargrave 2018-05-14 15:53:24	LT-T-Z:LP-DIR-T	g	1	u	8	273			pmagpy-4.2.4	1.16e-08	1.48e-10	2.78e-10	1.40e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T2	    1.4	161.8	 31.4 	0	0	0.00	0.00	2	  473.0	This study	hargrave 2018-05-15 16:08:59	LT-T-Z:LP-DIR-T	g	2	u	8	273			pmagpy-4.2.4	1.15e-08	1.47e-10	2.38e-10	1.33e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T3	    2.7	160.9	 31.3 	0	0	0.00	0.00	3	  573.0	This study	hargrave 2018-05-16 13:24:30	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.2.4	1.14e-08	2.08e-10	4.91e-10	1.54e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T4	   26.3	157.6	 27.8 	0	0	0.00	0.00	4	  623.0	This study	hargrave 2018-05-17 15:04:33	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.2.4	1.24e-08	5.33e-09	7.58e-09	1.57e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T5	    1.6	161.4	 31.4 	0	0	0.00	0.00	5	  623.0	This study	hargrave 2018-05-17 16:49:17	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-4.2.4	1.11e-08	1.48e-10	2.61e-10	1.48e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T6	    2.1	160.7	 30.2 	0	0	0.00	0.00	6	  673.0	This study	hargrave 2018-05-18 13:24:10	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.2.4	1.07e-08	1.71e-10	3.44e-10	1.47e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T7	    2.6	163.3	 29.1 	0	0	0.00	0.00	7	  723.0	This study	hargrave 2018-05-21 10:22:55	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.2.4	1.02e-08	1.84e-10	4.09e-10	1.74e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T8	    1.5	161.4	 28.3 	0	0	0.00	0.00	8	  748.0	This study	hargrave 2018-07-30 16:19:46	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-4.2.4	1.02e-08	1.41e-10	2.17e-10	1.65e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T9	    2.5	164.0	 28.2 	0	0	0.00	0.00	9	  773.0	This study	hargrave 2018-07-31 12:44:20	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-4.2.4	9.82e-09	1.57e-10	4.28e-10	1.40e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T10	    2.0	163.9	 26.9 	0	0	0.00	0.00	10	  798.0	This study	hargrave 2018-08-01 10:46:04	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-4.2.4	9.68e-09	1.71e-10	3.20e-10	1.84e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T11	    2.1	164.3	 27.0 	0	0	0.00	0.00	11	  823.0	This study	hargrave 2018-08-01 17:42:35	LT-T-Z:LP-DIR-T	g	11	u	8	273			pmagpy-4.2.4	9.48e-09	1.61e-10	3.23e-10	1.37e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T12	    2.1	164.4	 27.3 	0	0	0.00	0.00	12	  823.0	This study	hargrave 2018-08-01 19:05:54	LT-T-Z:LP-DIR-T	g	12	u	8	273			pmagpy-4.2.4	9.48e-09	1.65e-10	3.29e-10	1.39e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T13	    3.4	165.4	 23.6 	0	0	0.00	0.00	13	  828.0	This study	hargrave 2018-08-03 11:04:08	LT-T-Z:LP-DIR-T	g	13	u	8	273			pmagpy-4.2.4	9.14e-09	1.65e-10	3.93e-10	3.89e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T14	    2.2	164.9	 25.2 	0	0	0.00	0.00	14	  833.0	This study	hargrave 2018-08-03 17:59:52	LT-T-Z:LP-DIR-T	g	14	u	8	273			pmagpy-4.2.4	9.21e-09	1.82e-10	1.94e-10	3.37e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T15	    1.3	165.4	 26.6 	0	0	0.00	0.00	15	  838.0	This study	hargrave 2018-08-13 16:17:07	LT-T-Z:LP-DIR-T	g	15	u	8	273			pmagpy-4.2.4	9.17e-09	2.12e-10	1.54e-10	1.04e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T16	    1.6	167.6	 26.7 	0	0	0.00	0.00	16	  843.0	This study	hargrave 2018-08-14 13:09:10	LT-T-Z:LP-DIR-T	g	16	u	8	273			pmagpy-4.2.4	9.12e-09	1.44e-10	2.59e-10	1.05e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T17	    2.0	166.0	 26.1 	0	0	0.00	0.00	17	  848.0	This study	hargrave 2018-08-15 09:30:19	LT-T-Z:LP-DIR-T	g	17	u	8	273			pmagpy-4.2.4	9.09e-09	1.54e-10	3.20e-10	9.17e-11
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T18	    1.8	168.1	 26.1 	0	0	0.00	0.00	18	  853.0	This study	hargrave 2018-08-15 16:40:13	LT-T-Z:LP-DIR-T	g	18	u	8	273			pmagpy-4.2.4	9.02e-09	1.48e-10	2.76e-10	1.08e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T19	    1.6	167.5	 25.5 	0	0	0.00	0.00	19	  873.0	This study	hargrave 2018-08-16 12:54:09	LT-T-Z:LP-DIR-T	g	19	u	8	273			pmagpy-4.2.4	8.85e-09	1.62e-10	2.34e-10	1.20e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T20	    1.4	174.6	 20.3 	0	0	0.00	0.00	20	  893.0	This study	hargrave 2018-08-17 11:11:27	LT-T-Z:LP-DIR-T	g	20	u	8	273			pmagpy-4.2.4	8.39e-09	1.75e-10	1.84e-10	1.24e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T21	    1.6	186.1	 26.3 	0	0	0.00	0.00	21	  903.0	This study	hargrave 2018-08-28 12:51:00	LT-T-Z:LP-DIR-T	g	21	u	8	273			pmagpy-4.2.4	8.29e-09	1.68e-10	1.84e-10	2.01e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T22	    3.2	200.9	 16.8 	0	0	0.00	0.00	22	  913.0	This study	hargrave 2018-09-10 11:23:49	LT-T-Z:LP-DIR-T	g	22	u	8	273			pmagpy-4.2.4	9.59e-09	1.96e-10	2.22e-10	5.15e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T23	    1.6	179.1	 07.9 	0	0	0.00	0.00	23	  918.0	This study	hargrave 2018-09-11 13:20:49	LT-T-Z:LP-DIR-T	g	23	u	8	273			pmagpy-4.2.4	1.30e-08	5.62e-10	2.67e-10	2.03e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T24	    5.4	178.8	-54.6 	0	0	0.00	0.00	24	  923.0	This study	hargrave 2018-09-12 13:19:21	LT-T-Z:LP-DIR-T	g	24	u	8	273			pmagpy-4.2.4	3.09e-08	7.17e-10	6.65e-10	4.71e-09
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T25	    2.7	188.5	 02.6 	0	0	0.00	0.00	25	  928.0	This study	hargrave 2018-09-20 13:44:36	LT-T-Z:LP-DIR-T	g	25	u	8	273			pmagpy-4.2.4	1.39e-08	2.83e-10	3.08e-10	5.80e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T26	    2.1	205.0	-04.5 	0	0	0.00	0.00	26	  933.0	This study	hargrave 2018-09-21 11:14:23	LT-T-Z:LP-DIR-T	g	26	u	8	273			pmagpy-4.2.4	2.10e-08	1.04e-09	4.94e-10	3.12e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T27	    2.6	209.1	 05.4 	0	0	0.00	0.00	27	  938.0	This study	hargrave 2018-09-24 13:35:46	LT-T-Z:LP-DIR-T	g	27	u	8	273			pmagpy-4.2.4	1.89e-08	6.12e-10	5.93e-10	7.81e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T28	    1.5	212.0	-16.1 	0	0	0.00	0.00	28	  943.0	This study	hargrave 2018-09-25 11:07:04	LT-T-Z:LP-DIR-T	g	28	u	8	273			pmagpy-4.2.4	2.26e-08	8.13e-10	4.50e-10	3.27e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T29	    3.1	186.7	-04.1 	0	0	0.00	0.00	29	  945.0	This study	hargrave 2018-09-25 19:16:05	LT-T-Z:LP-DIR-T	g	29	u	8	273			pmagpy-4.2.4	1.66e-08	9.43e-10	4.36e-10	6.83e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T30	    2.2	199.7	-18.2 	0	0	0.00	0.00	30	  947.0	This study	hargrave 2018-09-26 15:58:23	LT-T-Z:LP-DIR-T	g	30	u	8	273			pmagpy-4.2.4	2.11e-08	5.74e-10	6.13e-10	3.81e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T31	    3.1	182.5	-01.1 	0	0	0.00	0.00	31	  949.0	This study	hargrave 2018-10-04 15:24:20	LT-T-Z:LP-DIR-T	g	31	u	8	273			pmagpy-4.2.4	1.52e-08	9.22e-10	4.12e-10	6.57e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T32	    2.4	225.3	-14.7 	0	0	0.00	0.00	32	  951.0	This study	hargrave 2018-10-05 13:03:43	LT-T-Z:LP-DIR-T	g	32	u	8	273			pmagpy-4.2.4	2.22e-08	9.68e-10	4.08e-10	4.48e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T33	    2.8	240.9	 03.7 	0	0	0.00	0.00	33	  953.0	This study	hargrave 2018-10-09 17:05:27	LT-T-Z:LP-DIR-T	g	33	u	8	273			pmagpy-4.2.4	2.21e-08	3.63e-10	8.15e-10	9.00e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T34	    4.1	220.1	-16.3 	0	0	0.00	0.00	34	  955.0	This study	hargrave 2018-10-11 15:13:40	LT-T-Z:LP-DIR-T	g	34	u	8	273			pmagpy-4.2.4	1.97e-08	9.96e-10	8.46e-10	6.95e-10
TR030-Aa:LP-DIR-T	TR030-Aa	TR030-Aa:LP-DIR-T35	    5.1	211.1	-02.8 	0	0	0.00	0.00	35	  957.0	This study	hargrave 2018-10-12 13:39:51	LT-T-Z:LP-DIR-T	g	35	u	8	273			pmagpy-4.2.4	1.52e-08	8.46e-10	9.40e-10	6.37e-10
