tab	measurements
experiment	specimen	measurement	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
TR038-Aa:LP-DIR-T	TR038-Aa	TR038-Aa:LP-DIR-T0	    1.9	281.6	 58.4 	0	0	0.00	0.00	0	273	This study	hargrave 2018-05-11 18:13:45	LT-NO:LP-DIR-T	g	0	u	8	273			pmagpy-4.2.4	1.53e-08	3.50e-10	3.13e-10	2.62e-10
TR038-Aa:LP-DIR-T	TR038-Aa	TR038-Aa:LP-DIR-T1	    1.9	284.8	 57.4 	0	0	0.00	0.00	1	  373.0	This study	hargrave 2018-05-14 16:29:43	LT-T-Z:LP-DIR-T	g	1	u	8	273			pmagpy-4.2.4	1.48e-08	3.53e-10	2.80e-10	2.61e-10
TR038-Aa:LP-DIR-T	TR038-Aa	TR038-Aa:LP-DIR-T2	    2.1	290.1	 53.7 	0	0	0.00	0.00	2	  473.0	This study	hargrave 2018-05-15 16:47:31	LT-T-Z:LP-DIR-T	g	2	u	8	273			pmagpy-4.2.4	1.38e-08	3.46e-10	2.95e-10	2.32e-10
TR038-Aa:LP-DIR-T	TR038-Aa	TR038-Aa:LP-DIR-T3	    2.0	293.6	 51.4 	0	0	0.00	0.00	3	  573.0	This study	hargrave 2018-05-16 14:02:16	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.2.4	1.32e-08	3.20e-10	2.48e-10	2.35e-10
TR038-Aa:LP-DIR-T	TR038-Aa	TR038-Aa:LP-DIR-T4	    2.0	293.5	 50.4 	0	0	0.00	0.00	4	  623.0	This study	hargrave 2018-05-17 15:40:34	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.2.4	1.30e-08	3.34e-10	2.40e-10	2.30e-10
TR038-Aa:LP-DIR-T	TR038-Aa	TR038-Aa:LP-DIR-T5	    1.8	294.6	 48.8 	0	0	0.00	0.00	5	  673.0	This study	hargrave 2018-05-18 14:00:16	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-4.2.4	1.25e-08	2.41e-10	2.74e-10	1.80e-10
TR038-Aa:LP-DIR-T	TR038-Aa	TR038-Aa:LP-DIR-T6	    2.0	296.7	 47.3 	0	0	0.00	0.00	6	  723.0	This study	hargrave 2018-05-21 11:00:20	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.2.4	1.21e-08	3.17e-10	2.19e-10	1.76e-10
TR038-Aa:LP-DIR-T	TR038-Aa	TR038-Aa:LP-DIR-T7	    1.8	297.4	 46.1 	0	0	0.00	0.00	7	  748.0	This study	hargrave 2018-07-30 17:00:04	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.2.4	1.18e-08	2.90e-10	1.81e-10	1.56e-10
TR038-Aa:LP-DIR-T	TR038-Aa	TR038-Aa:LP-DIR-T8	    2.9	299.6	 47.0 	0	0	0.00	0.00	8	  773.0	This study	hargrave 2018-07-31 13:24:31	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-4.2.4	1.18e-08	5.25e-10	1.86e-10	5.10e-10
TR038-Aa:LP-DIR-T	TR038-Aa	TR038-Aa:LP-DIR-T9	    2.1	300.0	 40.2 	0	0	0.00	0.00	9	  798.0	This study	hargrave 2018-08-01 11:28:20	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-4.2.4	1.07e-08	3.41e-10	1.98e-10	3.25e-10
TR038-Aa:LP-DIR-T	TR038-Aa	TR038-Aa:LP-DIR-T10	    2.6	303.1	 42.2 	0	0	0.00	0.00	10	  823.0	This study	hargrave 2018-08-01 18:23:18	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-4.2.4	1.11e-08	4.20e-10	2.02e-10	3.93e-10
