tab	measurements
experiment	specimen	measurement	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
TR028-Aa:LP-DIR-T	TR028-Aa	TR028-Aa:LP-DIR-T0	    3.4	163.5	 36.7 	0	0	0.00	0.00	0	273	This study	hargrave 2018-05-11 14:22:41	LT-NO:LP-DIR-T	g	0	u	8	273			pmagpy-4.2.4	1.27e-08	4.95e-10	6.44e-10	2.44e-10
TR028-Aa:LP-DIR-T	TR028-Aa	TR028-Aa:LP-DIR-T1	    3.3	159.8	 33.8 	0	0	0.00	0.00	1	  373.0	This study	hargrave 2018-05-14 13:06:25	LT-T-Z:LP-DIR-T	g	1	u	8	273			pmagpy-4.2.4	1.20e-08	4.25e-10	6.25e-10	1.51e-10
TR028-Aa:LP-DIR-T	TR028-Aa	TR028-Aa:LP-DIR-T2	    3.2	161.4	 34.0 	0	0	0.00	0.00	2	  473.0	This study	hargrave 2018-05-15 11:01:55	LT-T-Z:LP-DIR-T	g	2	u	8	273			pmagpy-4.2.4	1.23e-08	4.18e-10	6.28e-10	1.58e-10
TR028-Aa:LP-DIR-T	TR028-Aa	TR028-Aa:LP-DIR-T3	    3.2	160.5	 33.2 	0	0	0.00	0.00	3	  573.0	This study	hargrave 2018-05-16 09:38:10	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.2.4	1.24e-08	4.42e-10	6.29e-10	1.67e-10
TR028-Aa:LP-DIR-T	TR028-Aa	TR028-Aa:LP-DIR-T4	    2.5	160.4	 32.6 	0	0	0.00	0.00	4	  623.0	This study	hargrave 2018-05-16 17:25:39	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.2.4	1.22e-08	2.66e-10	4.77e-10	1.80e-10
TR028-Aa:LP-DIR-T	TR028-Aa	TR028-Aa:LP-DIR-T5	    3.4	161.1	 32.1 	0	0	0.00	0.00	5	  673.0	This study	hargrave 2018-05-18 10:30:26	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-4.2.4	1.21e-08	4.37e-10	6.40e-10	1.63e-10
TR028-Aa:LP-DIR-T	TR028-Aa	TR028-Aa:LP-DIR-T6	    3.4	160.5	 31.9 	0	0	0.00	0.00	6	  723.0	This study	hargrave 2018-05-18 16:48:23	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.2.4	1.18e-08	4.18e-10	6.54e-10	1.63e-10
TR028-Aa:LP-DIR-T	TR028-Aa	TR028-Aa:LP-DIR-T7	    3.3	161.0	 31.4 	0	0	0.00	0.00	7	  748.0	This study	hargrave 2018-05-21 14:59:37	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.2.4	1.16e-08	4.14e-10	6.22e-10	1.56e-10
TR028-Aa:LP-DIR-T	TR028-Aa	TR028-Aa:LP-DIR-T8	    2.7	158.1	 31.4 	0	0	0.00	0.00	8	  773.0	This study	hargrave 2018-07-31 09:42:47	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-4.2.4	1.16e-08	3.67e-10	4.27e-10	2.20e-10
TR028-Aa:LP-DIR-T	TR028-Aa	TR028-Aa:LP-DIR-T9	    2.8	157.9	 31.8 	0	0	0.00	0.00	9	  798.0	This study	hargrave 2018-07-31 16:25:25	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-4.2.4	1.15e-08	3.00e-10	4.59e-10	2.32e-10
