tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	sequence	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
None	This study	Luoman2	TR035-AA	TR035	TR035-AAa	TR035-AAa:LP-DIR-T	hargrave 2017-10-13 20:08:41	LT-NO:LP-DIR-T	pmagpy-3.16.0	TR035-AAa:LP-DIR-T1	5.1	194.9	None	g	4.3	5.34e-08	1	8	1.3e-09	4.379999999999999e-09	1.65e-09	u	273	0	0	0	0.0	0.0	273.0
None	This study	Luoman2	TR035-AA	TR035	TR035-AAa	TR035-AAa:LP-DIR-T	hargrave 2017-10-15 20:09:30	LT-T-Z:LP-DIR-T	pmagpy-3.16.0	TR035-AAa:LP-DIR-T2	2.8	194.4	None	g	4.5	5.28e-08	2	8	6.35e-10	2.13e-09	1.3800000000000002e-09	u	273	1	0	0	0.0	0.0	373.0
None	This study	Luoman2	TR035-AA	TR035	TR035-AAa	TR035-AAa:LP-DIR-T	hargrave 2017-10-16 14:15:32	LT-T-Z:LP-DIR-T	pmagpy-3.16.0	TR035-AAa:LP-DIR-T3	1.8	192.9	None	g	4.4	5.24e-08	3	8	6.279999999999999e-10	1.1e-09	1.2e-09	u	273	2	0	0	0.0	0.0	473.0
None	This study	Luoman2	TR035-AA	TR035	TR035-AAa	TR035-AAa:LP-DIR-T	hargrave 2017-10-17 11:05:14	LT-T-Z:LP-DIR-T	pmagpy-3.16.0	TR035-AAa:LP-DIR-T4	2.4	195.5	None	g	4.5	5.2099999999999997e-08	4	8	7.190000000000001e-10	1.4099999999999999e-09	1.59e-09	u	273	3	0	0	0.0	0.0	573.0
None	This study	Luoman2	TR035-AA	TR035	TR035-AAa	TR035-AAa:LP-DIR-T	hargrave 2017-10-18 09:11:58	LT-T-Z:LP-DIR-T	pmagpy-3.16.0	TR035-AAa:LP-DIR-T5	1.8	193.8	None	g	4.4	5.1799999999999994e-08	5	8	6.72e-10	6.73e-10	1.4199999999999999e-09	u	273	4	0	0	0.0	0.0	623.0
None	This study	Luoman2	TR035-AA	TR035	TR035-AAa	TR035-AAa:LP-DIR-T	hargrave 2017-10-20 16:49:37	LT-T-Z:LP-DIR-T	pmagpy-3.16.0	TR035-AAa:LP-DIR-T6	1.7	194.5	None	g	4.8	5.11e-08	6	8	6.67e-10	4.59e-10	1.4000000000000001e-09	u	273	5	0	0	0.0	0.0	673.0
None	This study	Luoman2	TR035-AA	TR035	TR035-AAa	TR035-AAa:LP-DIR-T	hargrave 2017-10-23 11:27:09	LT-T-Z:LP-DIR-T	pmagpy-3.16.0	TR035-AAa:LP-DIR-T7	1.8	193.4	None	g	4.8	5e-08	7	8	3.52e-10	1.18e-09	1.0499999999999999e-09	u	273	6	0	0	0.0	0.0	723.0
None	This study	Luoman2	TR035-AA	TR035	TR035-AAa	TR035-AAa:LP-DIR-T	hargrave 2017-10-24 08:52:25	LT-T-Z:LP-DIR-T	pmagpy-3.16.0	TR035-AAa:LP-DIR-T8	2.2	192.3	None	g	5.1	4.9900000000000003e-08	8	8	5.32e-10	1.36e-09	1.31e-09	u	273	7	0	0	0.0	0.0	748.0
None	This study	Luoman2	TR035-AA	TR035	TR035-AAa	TR035-AAa:LP-DIR-T	hargrave 2017-10-25 08:31:34	LT-T-Z:LP-DIR-T	pmagpy-3.16.0	TR035-AAa:LP-DIR-T9	1.8	192.7	None	g	5.2	4.9400000000000006e-08	9	8	5.21e-10	5.820000000000001e-10	1.4099999999999999e-09	u	273	8	0	0	0.0	0.0	773.0
None	This study	Luoman2	TR035-AA	TR035	TR035-AAa	TR035-AAa:LP-DIR-T	hargrave 2017-10-26 18:58:53	LT-T-Z:LP-DIR-T	pmagpy-3.16.0	TR035-AAa:LP-DIR-T10	1.6	193.3	None	g	5.3	4.91e-08	10	8	5.21e-10	5.35e-10	1.25e-09	u	273	9	0	0	0.0	0.0	798.0
None	This study	Luoman2	TR035-AA	TR035	TR035-AAa	TR035-AAa:LP-DIR-T	hargrave 2017-10-27 16:54:12	LT-T-Z:LP-DIR-T	pmagpy-3.16.0	TR035-AAa:LP-DIR-T11	2.5	190.6	None	g	5.3	4.83e-08	11	8	5.67e-10	1.66e-09	1.23e-09	u	273	10	0	0	0.0	0.0	823.0
None	This study	Luoman2	TR035-AA	TR035	TR035-AAa	TR035-AAa:LP-DIR-T	hargrave 2017-10-28 19:24:27	LT-T-Z:LP-DIR-T	pmagpy-3.16.0	TR035-AAa:LP-DIR-T12	2.9	193.2	None	g	6.3	4.7800000000000005e-08	12	8	9.68e-10	1.1699999999999999e-09	2e-09	u	273	11	0	0	0.0	0.0	828.0
None	This study	Luoman2	TR035-AA	TR035	TR035-AAa	TR035-AAa:LP-DIR-T	hargrave 2017-11-03 15:03:23	LT-T-Z:LP-DIR-T	pmagpy-3.16.0	TR035-AAa:LP-DIR-T13	3.0	192.6	None	g	5.5	4.6500000000000006e-08	13	8	5.92e-10	1.6800000000000004e-09	1.71e-09	u	273	12	0	0	0.0	0.0	833.0
